"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Length.n"
6.6,3,4.4,1.4,"versicolor",0.638888888888889
6.8,2.8,4.8,1.4,"versicolor",0.694444444444444
6.7,3,5,1.7,"versicolor",0.666666666666667
6,2.9,4.5,1.5,"versicolor",0.472222222222222
5.7,2.6,3.5,1,"versicolor",0.388888888888889
5.5,2.4,3.8,1.1,"versicolor",0.333333333333333
5.5,2.4,3.7,1,"versicolor",0.333333333333333
5.8,2.7,3.9,1.2,"versicolor",0.416666666666667
6,2.7,5.1,1.6,"versicolor",0.472222222222222
5.4,3,4.5,1.5,"versicolor",0.305555555555556
6,3.4,4.5,1.6,"versicolor",0.472222222222222
6.7,3.1,4.7,1.5,"versicolor",0.666666666666667
6.3,2.3,4.4,1.3,"versicolor",0.555555555555555
5.6,3,4.1,1.3,"versicolor",0.361111111111111
5.5,2.5,4,1.3,"versicolor",0.333333333333333
5.5,2.6,4.4,1.2,"versicolor",0.333333333333333
6.1,3,4.6,1.4,"versicolor",0.5
5.8,2.6,4,1.2,"versicolor",0.416666666666667
5,2.3,3.3,1,"versicolor",0.194444444444444
5.6,2.7,4.2,1.3,"versicolor",0.361111111111111
5.7,3,4.2,1.2,"versicolor",0.388888888888889
5.7,2.9,4.2,1.3,"versicolor",0.388888888888889
6.2,2.9,4.3,1.3,"versicolor",0.527777777777778
5.1,2.5,3,1.1,"versicolor",0.222222222222222
5.7,2.8,4.1,1.3,"versicolor",0.388888888888889
6.3,3.3,6,2.5,"virginica",0.555555555555555
5.8,2.7,5.1,1.9,"virginica",0.416666666666667
7.1,3,5.9,2.1,"virginica",0.777777777777778
6.3,2.9,5.6,1.8,"virginica",0.555555555555555
6.5,3,5.8,2.2,"virginica",0.611111111111111
7.6,3,6.6,2.1,"virginica",0.916666666666667
4.9,2.5,4.5,1.7,"virginica",0.166666666666667
7.3,2.9,6.3,1.8,"virginica",0.833333333333333
6.7,2.5,5.8,1.8,"virginica",0.666666666666667
7.2,3.6,6.1,2.5,"virginica",0.805555555555556
6.5,3.2,5.1,2,"virginica",0.611111111111111
6.4,2.7,5.3,1.9,"virginica",0.583333333333333
6.8,3,5.5,2.1,"virginica",0.694444444444444
5.7,2.5,5,2,"virginica",0.388888888888889
5.8,2.8,5.1,2.4,"virginica",0.416666666666667
6.4,3.2,5.3,2.3,"virginica",0.583333333333333
6.5,3,5.5,1.8,"virginica",0.611111111111111
7.7,3.8,6.7,2.2,"virginica",0.944444444444444
7.7,2.6,6.9,2.3,"virginica",0.944444444444444
6,2.2,5,1.5,"virginica",0.472222222222222
6.9,3.2,5.7,2.3,"virginica",0.722222222222222
5.6,2.8,4.9,2,"virginica",0.361111111111111
7.7,2.8,6.7,2,"virginica",0.944444444444444
6.3,2.7,4.9,1.8,"virginica",0.555555555555555
6.7,3.3,5.7,2.1,"virginica",0.666666666666667
7.2,3.2,6,1.8,"virginica",0.805555555555556
6.2,2.8,4.8,1.8,"virginica",0.527777777777778
6.1,3,4.9,1.8,"virginica",0.5
6.4,2.8,5.6,2.1,"virginica",0.583333333333333
7.2,3,5.8,1.6,"virginica",0.805555555555556
7.4,2.8,6.1,1.9,"virginica",0.861111111111111
7.9,3.8,6.4,2,"virginica",1
6.4,2.8,5.6,2.2,"virginica",0.583333333333333
6.3,2.8,5.1,1.5,"virginica",0.555555555555555
6.1,2.6,5.6,1.4,"virginica",0.5
7.7,3,6.1,2.3,"virginica",0.944444444444444
6.3,3.4,5.6,2.4,"virginica",0.555555555555555
6.4,3.1,5.5,1.8,"virginica",0.583333333333333
6,3,4.8,1.8,"virginica",0.472222222222222
6.9,3.1,5.4,2.1,"virginica",0.722222222222222
6.7,3.1,5.6,2.4,"virginica",0.666666666666667
6.9,3.1,5.1,2.3,"virginica",0.722222222222222
5.8,2.7,5.1,1.9,"virginica",0.416666666666667
6.8,3.2,5.9,2.3,"virginica",0.694444444444444
6.7,3.3,5.7,2.5,"virginica",0.666666666666667
6.7,3,5.2,2.3,"virginica",0.666666666666667
6.3,2.5,5,1.9,"virginica",0.555555555555555
6.5,3,5.2,2,"virginica",0.611111111111111
6.2,3.4,5.4,2.3,"virginica",0.527777777777778
5.9,3,5.1,1.8,"virginica",0.444444444444445
